study,model_name,condition,quantity,estimate,n,n_clusters,lo,hi
A1,gemma-2-2b-it,cure_centred_svd_r1_a1,mean |C_margin|,0.4192177821428348,160.0,160.0,0.33788101428594347,0.5091849386692046
A1,gemma-2-2b-it,leace_faithful_r1_a1,mean |C_raw|,0.6960025787353515,160.0,160.0,0.6004906272888184,0.8009381103515625
A1,gemma-2-2b-it,leace_faithful_r1_a1,mean |C_logp|,0.7533181428909301,160.0,160.0,0.648012261390686,0.8678435716032982
A1,gemma-2-2b-it,leace_faithful_r1_a1,mean |C_margin|,0.6560277724877382,160.0,160.0,0.4950884829729031,0.8537000264876927
A1,gemma-2-2b-it,leace_gender_large_r1_a1,mean |C_raw|,0.7114822387695312,160.0,160.0,0.616893539428711,0.8111849212646485
A1,gemma-2-2b-it,leace_gender_large_r1_a1,mean |C_logp|,0.7665685176849365,160.0,160.0,0.6631498318910599,0.877229367494583
A1,gemma-2-2b-it,leace_gender_large_r1_a1,mean |C_margin|,0.6590172908244989,160.0,160.0,0.4921219146404511,0.8719446753844236
A1,gemma-2-2b-it,leace_gender_small_r1_a1,mean |C_raw|,0.6876785278320312,160.0,160.0,0.5938935470581055,0.788901138305664
A1,gemma-2-2b-it,leace_gender_small_r1_a1,mean |C_logp|,0.752213180065155,160.0,160.0,0.6495545423030853,0.8643308693170548
A1,gemma-2-2b-it,leace_gender_small_r1_a1,mean |C_margin|,0.6496791044871012,160.0,160.0,0.4827862797639309,0.8622416673562463
A1,gemma-2-2b-it,leace_mw_f3_r1_a1,mean |C_raw|,0.6333850860595703,160.0,160.0,0.5452161693572999,0.7286389350891114
A1,gemma-2-2b-it,leace_mw_f3_r1_a1,mean |C_logp|,0.6982230424880982,160.0,160.0,0.6009981033205986,0.8038781350851059
A1,gemma-2-2b-it,leace_mw_f3_r1_a1,mean |C_margin|,0.6799259522022345,160.0,160.0,0.5108220061430564,0.8839847443959652
A1,gemma-2-2b-it,leace_sequential_r1_a1,mean |C_raw|,0.6769754409790039,160.0,160.0,0.579828805923462,0.7854588603973388
A1,gemma-2-2b-it,leace_sequential_r1_a1,mean |C_logp|,0.7332200407981873,160.0,160.0,0.6300210940837859,0.8492219379544258
A1,gemma-2-2b-it,leace_sequential_r1_a1,mean |C_margin|,0.6601532055781438,160.0,160.0,0.49505461805906054,0.8650617267076784
A1,gemma-2-2b-it,leace_swap_300_r1_a1,mean |C_raw|,0.67286376953125,160.0,160.0,0.5797021484375,0.7740600967407226
A1,gemma-2-2b-it,leace_swap_300_r1_a1,mean |C_logp|,0.7450566530227661,160.0,160.0,0.644657751917839,0.8544941797852517
A1,gemma-2-2b-it,leace_swap_300_r1_a1,mean |C_margin|,0.6643321942060422,160.0,160.0,0.49788001684042127,0.8701054754929664
A1,gemma-2-2b-it,leace_swap_max_noshrink_r1_a1,mean |C_raw|,0.7038467407226563,160.0,160.0,0.6064695358276367,0.8108038711547851
A1,gemma-2-2b-it,leace_swap_max_noshrink_r1_a1,mean |C_logp|,0.7658233284950257,160.0,160.0,0.6604038938879966,0.8811070588231086
A1,gemma-2-2b-it,leace_swap_max_noshrink_r1_a1,mean |C_margin|,0.6688824525246253,160.0,160.0,0.5013081943377471,0.8803142163233879
A1,gemma-2-2b-it,leace_swap_max_r1_a1,mean |C_raw|,0.694537353515625,160.0,160.0,0.6001814270019531,0.7995121765136719
A1,gemma-2-2b-it,leace_swap_max_r1_a1,mean |C_logp|,0.7550517201423645,160.0,160.0,0.6527147316932679,0.8681692296266555
